Experiment1_2
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, -81.78225569006003, -58.6529360176486, 0
"(0, 1)", -139.6370927895813, 76.53935673585474, 0, 0
"(0, 2)", 38.084162063534166, 49.99999999999985, 48.15391912, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, -10.427916665473493, -13.37332978125, -33.191761611972645
"(1, 1)", -4.256749999999999, -3.3333333332032047, -5.0806065625, -16.80603202582031
"(1, 2)", 0, 0, 78.54903007794073, 76.92319853333183
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, -13.521347940624997, -12.396631312499999, -12.546067314843748
"(2, 1)", -8.161213125, -3.4728779703392796, -41.738820831146185, -4.3885675
"(2, 2)", -6.015648107787499, -3.3773188019541394, -52.75504819239116, 124.79601034993846
"(2, 3)", -7.62412505036753, 48.898016644877615, 0, 0
"(2, 4)", 44.45698704329252, 0, 46.120342447964994, 41.59649999999999
"(3, 0)", 0, -14.829111267569996, -14.36361475, -15.784347417617184
"(3, 1)", -14.338714389999996, -28.237631163916546, -11.878722749999998, -37.65713304016705
"(3, 2)", -5.4261, -9.036513937499999, 0, -47.97338381515453
"(3, 3)", -27.985491907577263, 26.467514124999994, -5.523825531249999, 17.947627603484015
"(3, 4)", 0, 0, -3.6875, 50.513379024999985
"(4, 0)", 0, -12.170897499999997, 0, -15.388100875
"(4, 1)", -10.082414999999997, -7.159950082999999, 0, -11.293118999999997
"(4, 2)", -4.992749999999999, -12.43223559750781, 0, -3.1638599999999997
"(4, 3)", -5.029375, -38.08345409317626, 0, -10.667154617984373
"(4, 4)", -43.283499088739234, 0, 0, -4.891249999999999
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 190.61294279670693, 44.117549999999994, 0
"(0, 1)", 314.35490445581615, 84.36776568056521, 0, 0
"(0, 2)", 520.5915025185225, -98.20726635412927, -3.491293923012607, 0
"(0, 3)", 864.3190937945739, -60.38318469840864, -40.68025512110785, 0
"(0, 4)", -58.55562180962696, 0, -75.3770251253848, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, -17.986300478346966, -1.0, 17.643114344999997
"(1, 2)", 0, 0, 76.62888744450552, -8.799936978096
"(1, 3)", 22.000583501572972, -6.7760070875, 3.058022499999999, -34.061378644960314
"(1, 4)", -3.2476036725, 0, 2.4797999999999996, -68.49801148112726
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 11.149999999999999, 0, 0
"(2, 2)", 50.03386957265736, 47.64684389054772, 47.982319649999994, 48.52916580932449
"(2, 3)", 77.30430114862043, -18.123343659649993, 0, 0
"(2, 4)", -7.838230452024997, 0, 25.491329999999998, -5.4199465
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 39.975329999999985, -1.7207003333999995
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 37.99499999999999, 0, 0, 25.5
"True, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 15.0, 0, 0, 0
"(0, 3)", -1.0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, -1.0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, -1.0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, -1.0
"(3, 4)", -1.0, 0, -1.0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, -1.0
"False, True, True, True, True, True, False"
Position,N,S,E,W
