Experiment2_SSS_2
True
Position,N,S,E,W
"(0, 0)", 0, -17.661134784374998, -12.958245818750001, 0
"(0, 1)", -26.894931214134367, 114.50207022806623, -1.0, 0
"(0, 2)", 1.0027458944999976, 74.84354465710251, 3.4038749999999984, 0
"(0, 3)", 0, 46.70583082441365, 0, 0
"(0, 4)", 41.420731347151985, 0, 9.5, 0
"(1, 0)", 0, -8.0986815, -10.6522904375, -6.774985
"(1, 1)", -5.02275, -2.9665, -3.465, 119.45434616968137
"(1, 2)", -0.8089697462500001, 0, -2.2, 154.86846699621282
"(1, 3)", 0, -1.0, -1.5, 0
"(1, 4)", 0, 0, 37.920626874999996, 29.064499999999995
"(2, 0)", 0, -6.235669999999999, -9.119585781249999, -7.83789225
"(2, 1)", -3.04, -4.643, -4.4475, 59.23610557059889
"(2, 2)", -2.52, -2.8, -3.04, 159.96790857929275
"(2, 3)", -7.836164355579999, 8.254987656249998, -1.0, -1.7
"(2, 4)", 18.553874999999998, 0, 3.7259753124999992, 93.49487427537497
"(3, 0)", 0, -7.495665312499999, -8.9359840625, -8.4775685
"(3, 1)", -6.1130168750000005, -5.51922, -5.763, -5.0845
"(3, 2)", -3.033, -4.0396, -7.385437499999999, 64.7078044786807
"(3, 3)", -6.224399999999999, 66.46305506033198, -3.1500000000000004, -1.0
"(3, 4)", 0, 0, -41.30310113118527, 127.12522946130375
"(4, 0)", 0, -7.460190624999999, 0, -9.726236406249999
"(4, 1)", -6.63123125, -5.633125, 0, -7.3549
"(4, 2)", -7.91948125, -11.211413796874998, 0, -6.789374999999999
"(4, 3)", -9.490779374999999, -21.533798516289608, 0, -7.74998625
"(4, 4)", -25.498464638435426, 0, 0, -45.55123932093028
False
Position,N,S,E,W
"(0, 1)", 1.54982358201766, -11.685335500374997, -2.2173315517375034, 0
"(0, 2)", -9.480901564249704, -23.280512559449214, -15.736720264799803, 0
"(0, 3)", -19.235871494083426, -103.3057336200578, -19.452658302522934, 0
"(0, 4)", -91.76846862147508, 0, -93.77072341859204, 0
"(1, 0)", 0, -7.393278732947473, -4.4327499999999995, -2.6493318659379694
"(1, 1)", -5.884546551518744, -4.940375749999999, -4.305, -4.774687406019917
"(1, 2)", -7.963155193790932, 1.391977411989833e+20, -9.50370411182475, -15.647631279724607
"(1, 3)", -8.487596503145467, 1.581888362118121e+20, 4.5189843158308304e+21, -11.737995369187498
"(1, 4)", -11.891492614497999, 0, 5.597830341200769e+26, -83.12373669992957
"(2, 0)", 0, -6.847267919904317, -10.25375670065743, -7.834926094403382
"(2, 1)", -4.6432563763580195, -3.9218137175000014, 12604712692.561422, -3.404240394941877
"(2, 2)", -6.294558864875, 7.042314385840174e+21, 115518709711.17818, 4.631468110448295e+19
"(2, 3)", 1.5086811618996556e+21, 1.0633079718496672e+21, 288235613675.1843, 2.771282771208824e+19
"(2, 4)", 229820431562.3175, 0, 2.5448525414751675e+27, 2.301593956907945e+24
"(3, 0)", 0, -10.835667499999996, -13.928212746874998, -10.250178257278424
"(3, 1)", -8.525724999999998, 813699545273.3826, 181781994765223.0, -6.70058055663576
"(3, 2)", 485413986361946.4, 172478695303.09015, 3378222417460070.5, 851368989296463.5
"(3, 3)", 854688938357223.1, 125320966778.22372, 125216874367.14099, 8.151975898080734e+20
"(3, 4)", 5.548374062852875e+20, 0, 2.1004640201221756e+27, 7.616204805771542e+26
"(4, 0)", 0, -16.825194842187496, 0, -17.381457756562497
"(4, 1)", -20.783878843906244, 15092712587860.283, 0, 1473886743462.9888
"(4, 2)", 2525007946822.1426, 636071865384.6357, 0, 2026931689535601.5
"(4, 3)", 602448000118.3984, 9.74205866657479e+21, 0, 376651273817.3614
"(4, 4)", 628566042286.1362, 0, 0, 1.2679034671715156e+27
