Experiment5_2
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 33.63481175, -3.234, 0
"(0, 1)", 3.7432500000000006, 5.401864493891528, 0, 0
"(0, 2)", 9.747499999999999, 1.0684999999999993, 213.37981366395536, 0
"(0, 3)", 12.785679206020832, -2.0949999999999998, 0, 0
"(0, 4)", -5.712136499999999, 0, -6.739022499999999, 0
"(1, 0)", 0, -1.5, -1.7, -4.468
"(1, 1)", -3.234, -1.0, -1.5, 0
"(1, 2)", 0, 0, 150.3749893128002, 118.01740145166525
"(1, 3)", -0.15052200000000027, -3.9974724999999993, -1.0, 0
"(1, 4)", -2.9411699999999996, 0, -3.7364999999999995, -9.334933634999999
"(2, 0)", 0, -1.5, -2.2, -3.234
"(2, 1)", -1.0, -1.75, -1.5, -2.2
"(2, 2)", 34.680479999999996, 45.71345868499999, 41.338140499999994, 231.84105863453954
"(2, 3)", 71.3414192350337, 92.48903723813703, 0, 0
"(2, 4)", 108.1010503464624, 0, -3.1411732999999997, -5.6342
"(3, 0)", 0, -3.94, -2.75, -2.617
"(3, 1)", -2.8, -2.2, -2.2, -1.5
"(3, 2)", -1.0, -1.7, -1.5, -1.75
"(3, 3)", 0, -1.5, -1.5, -1.0
"(3, 4)", 0, 0, 53.93892573299999, -8.562466548687059
"(4, 0)", 0, -2.1, 0, -3.075
"(4, 1)", -2.05, -2.45, 0, -2.2
"(4, 2)", -2.8, -1.5, 0, -2.45
"(4, 3)", -2.2, -1.0, 0, -1.0
"(4, 4)", 43.62524943499999, 0, 0, -2.8
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 29.09425882766098, -4.774527910394379, 0
"(0, 1)", 18.815854999999992, 29.198242830095467, 0, 0
"(0, 2)", 81.35905612397693, 27.580681000000002, 31.98564, 0
"(0, 3)", -3.635, -4.165, -3.9749999999999996, 0
"(0, 4)", -5.375, 0, -3.88, 0
"(1, 0)", 0, -8.166112318955392, -12.26293053125, -9.463356788488642
"(1, 1)", -14.942771885698832, -3.3010394113735018, -4.676875, -3.5291699999999997
"(1, 2)", 0, 0, -165.58189144702578, 41.94497936783552
"(1, 3)", -1.0, -1.0, -4.97970375, -2.1
"(1, 4)", -2.55, 0, -2.8, -3.8275
"(2, 0)", 0, -8.276284375, -9.877844812499998, -9.277355554743693
"(2, 1)", -8.497834879005392, -64.87172489578295, -7.87280125, -7.805211149999998
"(2, 2)", -13.287834288803982, -4.63997659454189, 6.9232471061879295, -113.80292513866328
"(2, 3)", -12.575899767806934, 56.325245405408424, 0, 0
"(2, 4)", 43.559490792175, 0, 58.84999999992237, 42.54470692959999
"(3, 0)", 0, -7.1748125, -7.968609375, -9.606395665303776
"(3, 1)", -4.71875, 25.396167147331223, 27.741803635319798, -5.6297999999999995
"(3, 2)", 3.6222272519359793, 6.074490687391409, 4.195801880846451, -8.003588257766552
"(3, 3)", -1.85, 5.530661991938111, 5.233111477767567, -2.533
"(3, 4)", 0, 0, 5.3100000000000005, 65.55499544547735
"(4, 0)", 0, -9.048659375, 0, -6.1615625
"(4, 1)", -6.3741875, 15.208773829612037, 0, 10.56456808544953
"(4, 2)", -1.7040156334397127, -0.44194542575881246, 0, -4.055194813176262
"(4, 3)", -2.3490385834615046, -0.812322149744348, 0, -2.2085114083532504
"(4, 4)", -0.19853519842500034, 0, 0, 102.19635539179771
"True, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"False, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"True, True, True, True, True, False, True"
Position,N,S,E,W
"(0, 0)", 0, 49.0113366285, 0, 0
"(0, 1)", 67.30302579749998, 0, 0, 0
"(0, 2)", 72.27992998749998, -3.3375000000000004, -4.6935, 0
"(0, 3)", 12.474137499999998, -6.4223125, -6.09, 0
"(0, 4)", -9.291690625, 0, -13.038375437499997, 0
"(1, 0)", 0, 0, 0, 32.7386425
"(1, 1)", -1.0, -2.1, -1.5, -1.0
"(1, 2)", -3.59, -5.031125, -2.69, -7.8359446969999995
"(1, 3)", -4.335, -4.9822500000000005, -3.5650000000000004, -4.973750000000001
"(1, 4)", -5.790625, 0, -4.4681, -12.388343374999998
"(2, 0)", 0, -1.0, -1.0, 6.712499999999999
"(2, 1)", -1.7, -1.75, -1.0, -1.5
