Experiment1_1
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, -9.773099999999936, -34.45654750570081, 0
"(0, 1)", -3.86386, 79.99999999999291, 0, 0
"(0, 2)", 48.24489340335323, 49.999999999999986, 47.1175995, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, -39.98936153857451, -13.887261031249999, -60.76091250949812
"(1, 1)", -33.850682526157634, 56.55969568294026, -18.328082926760178, 59.518108164903296
"(1, 2)", 0, 0, 47.85121370464543, 75.19421184642297
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, -8.312027395980234, -29.028701790643748, -14.648109583920935
"(2, 1)", -15.351393146332793, -61.780696640254504, -30.21376222330155, -33.019155876065284
"(2, 2)", -35.07335900816175, -2.7731, -14.124062613954997, 121.9539428910632
"(2, 3)", -5.754249999999999, 35.484430999999994, 0, 0
"(2, 4)", 37.99499999999999, 0, 42.101375, 37.99499999999999
"(3, 0)", 0, -27.04190628671875, -71.91346286331195, -18.215964415656725
"(3, 1)", -19.922643815624998, -6.721305571999999, -17.811044879050357, -60.42632315060709
"(3, 2)", -11.814647585157548, -2.9411699999999996, -10.746903949999998, -7.5671818336499985
"(3, 3)", -7.622251309749998, 0, -7.734035, 10.790665
"(3, 4)", 0, 0, -9.270744999999998, 43.37171599999999
"(4, 0)", 0, -62.93670563215976, 0, -81.3174918913997
"(4, 1)", -71.11402293496526, -10.67589354100613, 0, -26.477671718824762
"(4, 2)", -23.385578674502923, -11.675587799999999, 0, -13.213562699999997
"(4, 3)", -15.420769087499997, -11.545129, 0, -5.41065
"(4, 4)", -10.636569999999999, 0, 0, -11.368421499999997
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 32.849999999999994, 49.99999999999994, 0
"(0, 1)", 51.41666666666633, 54.6085627801546, 0, 0
"(0, 2)", 82.36111111109045, -40.44787296664748, -3.3232113035774997, 0
"(0, 3)", -70.74645494439883, -17.759764984374996, -20.445008776572692, 0
"(0, 4)", -19.754429648437494, 0, -29.97804556773437, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, -16.773480854102562, 0, 26.886650712835
"(1, 2)", 0, 0, 70.19320346045467, -8.066545745287499
"(1, 3)", 2.598572578999997, -25.86924640371093, 17.001414999999998, -17.642114754791404
"(1, 4)", -22.66509987539062, 0, -8.364456499999998, -34.25548776472655
"(2, 0)", 0, 0, 0, 0
