Experiment2_1
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, -45976.32384345476, -32352.178543607042, 0
"(0, 1)", -57738.01428671193, 79.99999999861191, 0, 0
"(0, 2)", -24368.45710440135, 49.999999999940904, 45.882284999999996, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, -5820.986837734332, -34.511829095904766, -27816.383387853304
"(1, 1)", -6250.090929968954, 34.344785455268166, -3.907914661038772, 129.99791826831398
"(1, 2)", 0, 0, -4.6395, 76.83273489591535
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, -15.62525310482183, -19.498372833087494, -5907.126281860604
"(2, 1)", -7.384196204249999, -5.44408, 58.189278808305964, 213.13311923143874
"(2, 2)", -9.199945999999997, 83.89124480470045, 19.058098029729145, -2.19
"(2, 3)", 61.43522319325645, 57.84427692727991, 0, 0
"(2, 4)", 37.99499999999999, 0, 46.10430294665579, 49.99999969156324
"(3, 0)", 0, -12.104113562499997, -15.325358753124997, -1031.7928259086623
"(3, 1)", -7.018812499999999, -6.725249999999999, -6.343125, 253.57138752580215
"(3, 2)", -7.211625, 112.11392388631995, -3.94, -3.635
"(3, 3)", -2.9749999999999996, 112.44903610454918, -1.5, -1.0
"(3, 4)", 0, 0, -9.363348443102934, 79.98103077394559
"(4, 0)", 0, -14.278003621874998, 0, -10.930895937499997
"(4, 1)", -9.5494728125, -11.319122762499997, 0, -9.38669375
"(4, 2)", -9.845477031249999, -8.347670749999999, 0, -6.420999999999999
"(4, 3)", -6.420671875, -25.216550097947497, 0, -4.1754999999999995
"(4, 4)", -17.327537594214867, 0, 0, -16.908954483067895
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 1296.3852669784253, 49.88368474300639, 0
"(0, 1)", 1793.1818695729405, 828.0978832551245, 0, 0
"(0, 2)", 2251.5672722535255, 702.6812105290254, -5.0633231646433465, 0
"(0, 3)", 2644.4001388817505, -41.932032005585285, -11.909965397381454, 0
