Experiment3_1
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 127.36347319571027, 71.5747841025451, 0
"(0, 1)", 119.14387085779899, 137.16744205599986, 0, 0
"(0, 2)", 144.10030138365883, 14.999763336926948, 18.53861998772707, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, -0.567975, -0.3, 94.05774799713184
"(1, 1)", -0.4971, 2.0846835543731035, -0.3, 0
"(1, 2)", 0, 0, 10.90130100915308, 36.870404139634545
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, -0.3, -0.3, -0.39
"(2, 1)", -0.3, 29.597744893029542, -0.3, -0.3144
"(2, 2)", -0.26464862976717785, 70.63412332623804, 10.73163672557752, -0.6
"(2, 3)", 51.21533560171276, 57.301583781508754, 0, 0
"(2, 4)", 86.63825230385939, 0, 7.716427170164856, 12.478950000000001
"(3, 0)", 0, 0, -0.3, -0.3
"(3, 1)", -0.3, -0.3, 0, 0
"(3, 2)", -0.3, -0.51, -0.3, 38.3391023155935
"(3, 3)", 0, 1.4279510999999996, 0, -0.39
"(3, 4)", 0, 0, -0.39, 20.351328299442823
"(4, 0)", 0, -0.51, 0, 0
"(4, 1)", -0.39, -0.3, 0, 0
"(4, 2)", 0, -0.3, 0, -0.3
"(4, 3)", 0, -1.2988737, 0, -0.15264570000000002
"(4, 4)", -0.8327700000000001, 0, 0, 2.588827170164856
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 116.79391003119999, 14.999517014136629, 0
"(0, 1)", 92.63841376684746, 97.8777120873529, 0, 0
"(0, 2)", 104.3367099888497, 55.403144559092596, 18.528545085024895, 0
"(0, 3)", 97.93504450294434, -1.125295749, -0.5711931037528184, 0
"(0, 4)", 58.10854233171298, 0, -1.120146, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 8.795877674480694, -0.3, 91.61846148656264
"(1, 2)", 0, 0, 44.100857432469525, 85.23615932981207
"(1, 3)", 10.996668132858563, -0.630138, 0, -1.5920651399999999
"(1, 4)", -0.665862, 0, 3.6660196634293736, 14.198097913385809
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, -0.3, 0, 0
"(2, 2)", 12.970559699999999, 59.34720897934553, 13.235265, 11.96190519198083
"(2, 3)", 36.90167210514902, 35.70444642564213, 0, 0
"(2, 4)", 41.5208664493983, 0, -0.7032, -1.12167
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 2.4801, 3.2968743959313236
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
