Experiment4_2
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 17.965409264022448, 0.021030395036026217, 0
"(0, 1)", 13.807456798329031, 24.83382231745935, 0, 0
"(0, 2)", 22.734266951684948, 14.999763336926948, 32.71392543399582, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, -0.51, -0.747, 5.069273623948007
"(1, 1)", -0.39, 0, 0, 1.4335500000000003
"(1, 2)", 0, 0, 28.186992172800572, 20.47660214812848
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 7.493551777492273, -0.627, -0.6
"(2, 1)", -0.3, 29.822199474808272, -0.747, -0.14429999999999996
"(2, 2)", 18.220897378486576, 39.25323830118938, 11.017918573496466, 10.478208234263157
"(2, 3)", 24.99634340494893, 42.97445236937835, 0, 0
"(2, 4)", 45.11067514670951, 0, 46.050633777914655, 12.478950000000001
"(3, 0)", 0, 0.6594882757025674, -0.774, -0.69
"(3, 1)", -0.8811, -0.39, -0.6, 10.989449301291387
"(3, 2)", -0.7089, -0.51, -0.3, 28.610876405340832
"(3, 3)", -0.3, -0.3, -0.3, -0.3
"(3, 4)", 0, 0, 7.234888683948274, 31.30587717668672
"(4, 0)", 0, -0.6, 0, -0.573
"(4, 1)", -0.39, -0.51, 0, -0.6
"(4, 2)", -0.3, -0.3, 0, -0.51
"(4, 3)", -0.39, 0, 0, -0.51
"(4, 4)", -0.39, 0, 0, 17.842549132439853
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 83.02857551234857, 12.478950000000001, 0
"(0, 1)", 73.79324176605222, 55.48756796975258, 0, 0
"(0, 2)", 23.39985671973792, 8.928607703160534, 100.73535453469768, 0
"(0, 3)", 83.28351815969712, 11.725485046415164, 1.8876122451040154, 0
"(0, 4)", 57.18114330148097, 0, -0.663, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 59.25015816702597, 0, 63.96536416334932
"(1, 2)", 0, 0, 111.37710799943736, 75.15078980266968
"(1, 3)", -0.39, -0.3, 29.547760728092587, 0
"(1, 4)", -0.51, 0, 47.82708939700195, 23.00751617680755
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 14.8546664843895, 70.62868284811105, 13.7646855, 123.5553601335073
"(2, 3)", 107.00227451271085, 72.01024166144165, 0, 0
"(2, 4)", 92.47397463304694, 0, 8.459910092399308, 42.16188359181927
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 16.81161456522048, 84.94588064398107
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 26.03186980434566
"True, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 0, -0.3, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 4.409999999999999, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 7.65, 0, 0, 0
"(1, 0)", 0, 0, -0.3, -0.3
"(1, 1)", 0, -0.3, 0, 0
"(1, 2)", 0, 0, 0, -0.3
"(1, 3)", 0, -0.3, 0, 0
"(1, 4)", 0, 0, 0, 0.8399999999999999
"(2, 0)", 0, -0.3, 0, 0
"(2, 1)", 0, 0, -0.3, -0.3
"(2, 2)", 0, 0, -0.3, 0
"(2, 3)", 0, 0, 0, -0.3
"(2, 4)", 0, 0, 0, -0.39
"(3, 0)", 0, -0.3, -0.3, 0
"(3, 1)", -0.3, -0.3, -0.3, -0.3
"(3, 2)", -0.3, -0.3, -0.3, -0.3
"(3, 3)", -0.3, -0.3, 0, -0.3
"(3, 4)", -0.3, 0, -0.39, -0.3
"(4, 0)", 0, -0.3, 0, -0.3
"(4, 1)", -0.3, -0.3, 0, -0.3
"(4, 2)", -0.3, -0.3, 0, -0.3
"(4, 3)", -0.3, -0.51, 0, -0.3
"(4, 4)", -0.3, 0, 0, -0.51
"False, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 0, 4.5, 0
"(0, 1)", -0.3, 0, 0, 0
"(0, 2)", -0.3, -0.3, -0.3, 0
"(0, 3)", -0.51, -0.3, -0.07772999999999988, 0
"(0, 4)", -0.6, 0, -0.3, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 8.478060150000001, -0.3
"(1, 3)", 2.7009105000000004, 0, 0, 0
"(1, 4)", -0.348, 0, -0.39, -0.6
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 14.13527985, 0, 0, 0
"(2, 3)", 5.7072645, -0.48, 0, 0
"(2, 4)", 0.15286500000000014, 0, -0.6, -0.9119550000000001
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0.8399999999999999, -1.3234107
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 7.65, 0, 0, 0
"True, True, True, True, True, False, True"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"False, True, True, True, True, False, True"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"True, True, True, True, True, False, False"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
