Experiment4_1
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 91.27201017673792, 28.87120715568815, 0
"(0, 1)", 81.5854336490059, 99.50443059697268, 0, 0
"(0, 2)", 88.42142590119666, 14.9999999777833, 103.40973425279452, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 3.2793291948930943, -0.51, 68.64324600255813
"(1, 1)", 0, 52.89171112425056, 0, 2.8259621106
"(1, 2)", 0, 0, 73.25122373343011, 88.68117548053266
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, -0.6, -0.3, 21.251750218073393
"(2, 1)", 0, 47.685501597068516, -0.3, 10.240517219474365
"(2, 2)", -0.7641, -0.604809, 3.1969801275781204, 81.24957453982238
"(2, 3)", 10.746126893941067, 2.3730753, 0, 0
"(2, 4)", 10.58184729, 0, 4.5, 4.5
"(3, 0)", 0, -0.51, -0.8097000000000001, -0.6
"(3, 1)", -0.3, 1.5547742899810204, -0.604029, 0
"(3, 2)", 0, -0.3, -0.3, 32.157148481181885
"(3, 3)", 0, 0, 0, -0.7701
"(3, 4)", 0, 0, -0.3, 0
"(4, 0)", 0, -1.0323, 0, -0.974199
"(4, 1)", -1.2597720000000001, 0, 0, 0
"(4, 2)", -0.3, 0, 0, 0
"(4, 3)", 0, 0, 0, -0.41700000000000004
"(4, 4)", -0.3, 0, 0, 0
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 172.0465511291189, 14.699999814937946, 0
"(0, 1)", 109.26785487940347, 72.09104944541835, 0, 0
"(0, 2)", 147.54508519055065, 71.1577122914079, 43.34756641828329, 0
"(0, 3)", 112.87129361989606, -0.3, -0.21711751163089754, 0
"(0, 4)", -0.3, 0, -0.3, 0
"(1, 0)", 0, 0, 0, -0.3
"(1, 1)", -0.3, 50.17768278173021, 0, 96.80224871204419
"(1, 2)", 0, 0, 61.60761905604488, 153.16287718722378
"(1, 3)", -0.39, 0, -0.16949999999999996, 7.430441526953482
"(1, 4)", -0.3, 0, -0.3585, -0.3
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 12.478950000000001, 17.341535542290337, 11.3985, 71.22424419129995
"(2, 3)", 4.9155685919043, -0.72, 0, 0
"(2, 4)", -0.030149999999999927, 0, -0.3, -0.3
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, -0.3, -0.3
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 4.409999999999999
"True, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"False, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"True, True, True, True, True, False, True"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"False, True, True, True, True, False, True"
Position,N,S,E,W
"(0, 0)", 0, 0, 0, 0
"(0, 1)", 0, 0, 0, 0
"(0, 2)", 0, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 0, 0, 0
"(2, 3)", 0, 0, 0, 0
